"%s","%s"
"Sales Report", "Vendas"
"Real Time Reports", "Relatórios em Tempo Real"
"Sales by City", "Vendas por Cidade"
"This report depends on timezone configuration. Once timezone is changed, the lifetime statistics need to be refreshed.", "Este relatório depende da sua timezone. Quando a timezone for alterada, as estatísticas precisam ser atualizadas."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.", "Última atualização: %s. Para atualizar <a href=""%s"">clique aqui</a>."
"From", "De"
"To", "Até"
"Sales by Region", "Vendas Por Região"
"By Region", "Por Estado"
"By City", "Por Cidade"
"Report Type", "Tipo de Relatório"
"Region", "Estado"
"City", "Cidade"
"Bestsellers", "Mais Vendidos"
"Qty Ordered", "Quantidade de itens"
"Product Name", "Nome do Produto"
"Customers", "Clientes"
"By Total", "Ordenar por valor"
"By Qty", "Ordenar por quantidade"
